OrderDetailID,OrderID,ProductID,Quantity,ProductName,ProductPrice,CustomerID,OrderDate,CustomerFirstName,CustomerLastName,CustomerEmail
69,1895,32,3,Binder,8,29,2019/6/18,Isabella,Davis,isabella.davis60@outlook.com
70,1367,11,3,Printer,200,433,2020/6/3,Mason,Garcia,mason.garcia52@yahoo.com
71,1820,49,5,Gaming Console,500,59,2020/4/25,Noah,Rodriguez,noah.rodriguez34@gmail.com
72,998,19,4,Graphic Tablet,300,47,2023/6/24,Olivia,Miller,olivia.miller41@live.com
73,400,50,1,Action Camera,300,340,2023/6/23,Mason,Williams,mason.williams24@outlook.com
74,1471,40,5,Wall Clock,45,263,2023/6/7,Olivia,Smith,olivia.smith21@live.com
75,1746,27,3,Notebook,5,495,2022/3/5,Emma,Davis,emma.davis94@gmail.com
76,414,22,3,Charging Cable,20,190,2023/8/29,Noah,Williams,noah.williams36@live.com
77,406,46,3,Scanner,250,14,2020/6/19,Sophia,Davis,sophia.davis22@live.com
78,500,23,3,Portable Charger,60,441,2019/6/18,Ethan,Jones,ethan.jones15@gmail.com
79,1238,1,5,Laptop,1200,206,2020/6/18,Sophia,Johnson,sophia.johnson6@live.com
80,312,24,1,SD Card,30,258,2022/7/1,Noah,Brown,noah.brown90@yahoo.com
81,214,42,1,Office Chair,150,431,2021/5/24,Noah,Martinez,noah.martinez8@gmail.com
82,1841,15,3,Bluetooth Speaker,180,468,2023/5/30,Noah,Johnson,noah.johnson75@outlook.com
83,1352,49,5,Gaming Console,500,389,2020/8/13,Emma,Smith,emma.smith38@outlook.com
84,1327,1,3,Laptop,1200,495,2023/3/19,Emma,Davis,emma.davis94@gmail.com
85,1228,47,3,Headphones,180,169,2021/12/17,Emma,Miller,emma.miller37@live.com
86,1529,25,2,Computer Mouse Pad,15,37,2024/1/12,Isabella,Smith,isabella.smith90@outlook.com
87,1083,30,4,Stapler,12,352,2022/9/2,Olivia,Smith,olivia.smith13@hotmail.com
88,85,42,4,Office Chair,150,365,2023/10/1,Liam,Miller,liam.miller98@gmail.com
89,965,20,1,Fitness Tracker,160,455,2022/12/6,Isabella,Jones,isabella.jones6@outlook.com
90,1242,18,4,VR Headset,350,143,2022/4/14,Ava,Jones,ava.jones99@gmail.com
91,985,32,1,Binder,8,226,2019/3/24,Logan,Miller,logan.miller86@gmail.com
92,1971,30,4,Stapler,12,257,2021/2/25,Sophia,Williams,sophia.williams26@yahoo.com
93,1794,26,1,Backpack,70,110,2019/7/12,Mason,Garcia,mason.garcia55@hotmail.com
94,1738,3,3,Tablet,450,482,2020/10/10,Olivia,Williams,olivia.williams11@outlook.com
95,982,37,4,Coffeemaker,90,385,2019/5/5,Isabella,Brown,isabella.brown57@gmail.com
96,1969,29,5,Highlighter,4,180,2021/12/22,Ethan,Smith,ethan.smith27@yahoo.com
97,1833,16,2,Webcam,100,198,2019/3/15,Ethan,Martinez,ethan.martinez22@yahoo.com
98,561,20,4,Fitness Tracker,160,38,2021/3/26,Emma,Garcia,emma.garcia34@yahoo.com
99,445,7,1,Smartwatch,250,410,2023/6/28,Isabella,Brown,isabella.brown67@hotmail.com
100,1154,7,5,Smartwatch,250,308,2020/6/10,Ethan,Williams,ethan.williams45@outlook.com
101,109,28,1,Pen,3,243,2021/6/25,Olivia,Williams,olivia.williams92@hotmail.com
102,1599,14,3,Gaming Chair,400,251,2022/6/6,Noah,Jones,noah.jones40@yahoo.com
103,957,22,5,Charging Cable,20,261,2023/9/2,Mason,Miller,mason.miller75@live.com
104,1082,31,5,Paper Clips,1,191,2020/4/23,Mason,Garcia,mason.garcia20@gmail.com
105,1005,48,3,Smart TV,1000,165,2022/10/4,Emma,Brown,emma.brown17@outlook.com
106,788,16,1,Webcam,100,403,2019/4/7,Mason,Miller,mason.miller84@live.com
107,1373,35,4,Desk Organizer,20,448,2021/12/1,Mason,Miller,mason.miller68@yahoo.com
108,350,18,2,VR Headset,350,307,2019/12/23,Mason,Miller,mason.miller17@gmail.com
109,1954,14,3,Gaming Chair,400,479,2021/7/12,Logan,Johnson,logan.johnson20@gmail.com
110,1397,38,3,Water Bottle,30,500,2020/8/24,Noah,Williams,noah.williams99@hotmail.com
111,921,23,3,Portable Charger,60,63,2020/11/30,Mason,Johnson,mason.johnson35@gmail.com
112,1379,13,4,Desk Lamp,90,260,2019/12/19,Noah,Miller,noah.miller58@live.com
113,24,50,2,Action Camera,300,77,2021/7/1,Emma,Garcia,emma.garcia29@outlook.com
114,422,18,2,VR Headset,350,41,2019/12/6,Ethan,Garcia,ethan.garcia62@live.com
115,1163,23,2,Portable Charger,60,161,2021/1/13,Noah,Davis,noah.davis69@outlook.com
116,651,30,2,Stapler,12,407,2020/1/3,Ethan,Garcia,ethan.garcia23@hotmail.com
117,1226,1,5,Laptop,1200,442,2020/10/21,Logan,Rodriguez,logan.rodriguez28@yahoo.com
118,520,35,1,Desk Organizer,20,213,2021/5/18,Liam,Smith,liam.smith92@yahoo.com
119,1098,33,2,Envelope,10,11,2020/5/25,Ethan,Miller,ethan.miller64@outlook.com
120,475,1,1,Laptop,1200,354,2019/9/11,Isabella,Rodriguez,isabella.rodriguez69@gmail.com
121,943,24,1,SD Card,30,88,2021/10/29,Logan,Johnson,logan.johnson1@gmail.com
122,1227,46,2,Scanner,250,19,2020/9/13,Logan,Williams,logan.williams55@outlook.com
123,732,34,5,Calculator,25,252,2018/10/15,Noah,Jones,noah.jones43@outlook.com
124,998,21,4,USB Flash Drive,40,47,2023/6/24,Olivia,Miller,olivia.miller41@live.com
125,422,45,5,Projector,400,41,2019/12/6,Ethan,Garcia,ethan.garcia62@live.com
126,1402,36,3,Bookshelf,150,319,2023/10/5,Logan,Garcia,logan.garcia39@gmail.com
127,745,39,1,Thermos,25,170,2023/6/19,Noah,Johnson,noah.johnson46@live.com
128,1709,27,5,Notebook,5,359,2018/12/26,Isabella,Johnson,isabella.johnson96@gmail.com
129,560,40,2,Wall Clock,45,201,2019/9/29,Isabella,Davis,isabella.davis70@hotmail.com
130,360,33,1,Envelope,10,319,2021/3/6,Logan,Garcia,logan.garcia39@gmail.com
131,263,4,3,Monitor,300,55,2019/9/25,Logan,Garcia,logan.garcia5@yahoo.com
132,1152,2,3,Smartphone,800,433,2020/11/18,Mason,Garcia,mason.garcia52@yahoo.com
133,458,42,1,Office Chair,150,387,2022/10/19,Olivia,Johnson,olivia.johnson85@yahoo.com
134,200,34,3,Calculator,25,276,2020/5/17,Olivia,Brown,olivia.brown59@hotmail.com
135,540,34,5,Calculator,25,114,2018/12/11,Olivia,Rodriguez,olivia.rodriguez16@gmail.com
136,472,18,1,VR Headset,350,481,2020/6/12,Sophia,Davis,sophia.davis90@live.com
137,865,41,5,Desk,250,337,2023/6/22,Emma,Rodriguez,emma.rodriguez16@gmail.com
138,762,42,2,Office Chair,150,217,2023/12/24,Emma,Davis,emma.davis12@live.com
139,292,18,3,VR Headset,350,211,2023/2/23,Liam,Martinez,liam.martinez30@hotmail.com
140,1919,9,1,Wireless Headphones,150,393,2019/11/5,Ethan,Johnson,ethan.johnson51@yahoo.com
141,300,39,1,Thermos,25,144,2020/10/27,Isabella,Rodriguez,isabella.rodriguez93@yahoo.com
142,1612,35,5,Desk Organizer,20,150,2020/1/18,Liam,Martinez,liam.martinez33@live.com
143,354,1,4,Laptop,1200,274,2019/12/4,Noah,Jones,noah.jones62@outlook.com
144,1000,24,1,SD Card,30,370,2018/10/4,Ava,Johnson,ava.johnson3@live.com
145,1992,47,5,Headphones,180,328,2019/9/5,Mason,Davis,mason.davis61@live.com
146,1699,23,1,Portable Charger,60,349,2019/10/25,Isabella,Rodriguez,isabella.rodriguez73@gmail.com
147,1035,12,2,E-reader,130,352,2022/8/30,Olivia,Smith,olivia.smith13@hotmail.com
148,1442,1,2,Laptop,1200,223,2022/12/15,Ethan,Garcia,ethan.garcia22@live.com
149,1571,15,3,Bluetooth Speaker,180,328,2020/11/12,Mason,Davis,mason.davis61@live.com
150,601,47,5,Headphones,180,331,2021/6/7,Ethan,Smith,ethan.smith36@hotmail.com
151,1125,18,3,VR Headset,350,302,2022/10/16,Ava,Rodriguez,ava.rodriguez66@live.com
152,1136,5,4,Keyboard,100,318,2020/10/31,Ethan,Miller,ethan.miller72@live.com
153,797,31,1,Paper Clips,1,126,2020/7/28,Ethan,Brown,ethan.brown23@yahoo.com
154,1382,16,4,Webcam,100,40,2018/10/25,Noah,Davis,noah.davis14@outlook.com
155,121,36,3,Bookshelf,150,278,2020/4/9,Logan,Smith,logan.smith12@live.com
156,1628,12,2,E-reader,130,484,2022/1/21,Ethan,Jones,ethan.jones3@gmail.com
157,954,25,1,Computer Mouse Pad,15,22,2021/12/29,Ethan,Garcia,ethan.garcia51@live.com
158,1260,19,3,Graphic Tablet,300,70,2019/2/21,Sophia,Brown,sophia.brown77@hotmail.com
159,900,15,5,Bluetooth Speaker,180,17,2021/6/20,Noah,Miller,noah.miller42@outlook.com
160,670,46,3,Scanner,250,464,2020/4/9,Ava,Martinez,ava.martinez3@hotmail.com
161,722,36,3,Bookshelf,150,22,2023/12/31,Ethan,Garcia,ethan.garcia51@live.com
162,1121,11,4,Printer,200,408,2020/8/25,Ava,Miller,ava.miller16@outlook.com
163,1864,10,3,Camera,600,364,2021/1/13,Noah,Rodriguez,noah.rodriguez77@gmail.com
164,516,42,4,Office Chair,150,154,2019/7/12,Emma,Garcia,emma.garcia48@outlook.com
165,40,20,3,Fitness Tracker,160,243,2021/4/15,Olivia,Williams,olivia.williams92@hotmail.com
166,243,44,5,Whiteboard,130,231,2019/12/10,Emma,Smith,emma.smith16@yahoo.com
167,1735,29,1,Highlighter,4,199,2023/6/20,Sophia,Williams,sophia.williams58@gmail.com
168,1927,25,2,Computer Mouse Pad,15,151,2021/7/22,Ethan,Jones,ethan.jones48@outlook.com
169,398,28,3,Pen,3,15,2018/9/26,Noah,Williams,noah.williams89@gmail.com
170,1152,33,1,Envelope,10,433,2020/11/18,Mason,Garcia,mason.garcia52@yahoo.com
171,1299,29,3,Highlighter,4,418,2023/1/30,Ethan,Smith,ethan.smith22@live.com
172,350,35,2,Desk Organizer,20,307,2019/12/23,Mason,Miller,mason.miller17@gmail.com
173,1561,29,5,Highlighter,4,155,2022/10/17,Logan,Jones,logan.jones59@hotmail.com
174,711,4,1,Monitor,300,270,2020/5/9,Sophia,Martinez,sophia.martinez55@live.com
175,1347,7,1,Smartwatch,250,233,2018/11/25,Logan,Smith,logan.smith39@outlook.com
176,975,4,5,Monitor,300,266,2021/2/19,Logan,Davis,logan.davis49@hotmail.com
177,1474,13,2,Desk Lamp,90,37,2023/11/26,Isabella,Smith,isabella.smith90@outlook.com
178,1780,29,3,Highlighter,4,327,2021/3/12,Ethan,Davis,ethan.davis32@live.com
179,763,12,5,E-reader,130,50,2020/10/11,Noah,Williams,noah.williams71@gmail.com
180,574,27,5,Notebook,5,226,2020/11/1,Logan,Miller,logan.miller86@gmail.com
181,1264,40,5,Wall Clock,45,278,2023/6/14,Logan,Smith,logan.smith12@live.com
182,290,10,3,Camera,600,148,2023/8/12,Ethan,Williams,ethan.williams41@outlook.com
183,336,34,2,Calculator,25,213,2021/6/17,Liam,Smith,liam.smith92@yahoo.com
184,1616,50,4,Action Camera,300,355,2018/10/18,Olivia,Williams,olivia.williams66@yahoo.com
185,675,35,5,Desk Organizer,20,305,2020/5/1,Emma,Garcia,emma.garcia8@live.com
186,1263,27,1,Notebook,5,438,2020/3/9,Ethan,Davis,ethan.davis23@hotmail.com
187,1144,13,2,Desk Lamp,90,138,2020/4/10,Ethan,Williams,ethan.williams24@outlook.com
188,1698,29,4,Highlighter,4,467,2019/3/1,Isabella,Davis,isabella.davis84@outlook.com
189,143,23,1,Portable Charger,60,298,2023/9/15,Noah,Rodriguez,noah.rodriguez7@live.com
190,324,47,1,Headphones,180,37,2021/2/17,Isabella,Smith,isabella.smith90@outlook.com
191,457,33,2,Envelope,10,51,2020/8/1,Isabella,Garcia,isabella.garcia88@gmail.com
192,634,48,5,Smart TV,1000,379,2023/10/17,Ava,Williams,ava.williams32@yahoo.com
193,583,3,5,Tablet,450,104,2021/4/21,Sophia,Brown,sophia.brown92@live.com
194,535,47,5,Headphones,180,489,2019/6/16,Noah,Garcia,noah.garcia13@yahoo.com
195,1290,22,5,Charging Cable,20,144,2022/9/10,Isabella,Rodriguez,isabella.rodriguez93@yahoo.com
196,543,50,4,Action Camera,300,268,2023/10/19,Mason,Williams,mason.williams96@live.com
197,890,14,5,Gaming Chair,400,372,2022/9/19,Noah,Davis,noah.davis53@live.com
198,1726,35,1,Desk Organizer,20,268,2018/9/22,Mason,Williams,mason.williams96@live.com
199,727,24,5,SD Card,30,332,2021/8/21,Sophia,Garcia,sophia.garcia19@outlook.com
200,1174,19,1,Graphic Tablet,300,219,2019/5/16,Liam,Martinez,liam.martinez1@yahoo.com
201,1932,38,5,Water Bottle,30,484,2021/12/6,Ethan,Jones,ethan.jones3@gmail.com
202,828,45,4,Projector,400,452,2021/4/15,Ethan,Davis,ethan.davis8@gmail.com
203,368,12,5,E-reader,130,160,2022/4/5,Ava,Smith,ava.smith28@gmail.com
204,47,14,5,Gaming Chair,400,133,2018/9/30,Mason,Garcia,mason.garcia32@hotmail.com
205,1456,22,4,Charging Cable,20,255,2023/2/21,Isabella,Davis,isabella.davis35@gmail.com
206,1325,23,3,Portable Charger,60,264,2021/8/17,Mason,Davis,mason.davis36@yahoo.com
207,1881,1,3,Laptop,1200,384,2020/11/17,Mason,Jones,mason.jones5@hotmail.com
208,1402,10,2,Camera,600,319,2023/10/5,Logan,Garcia,logan.garcia39@gmail.com
209,161,5,5,Keyboard,100,37,2020/12/1,Isabella,Smith,isabella.smith90@outlook.com
210,334,29,3,Highlighter,4,386,2018/11/22,Isabella,Rodriguez,isabella.rodriguez47@live.com
211,207,2,2,Smartphone,800,418,2020/7/24,Ethan,Smith,ethan.smith22@live.com
212,128,37,3,Coffeemaker,90,374,2022/3/14,Mason,Brown,mason.brown83@gmail.com
213,1758,49,2,Gaming Console,500,369,2021/8/20,Olivia,Miller,olivia.miller95@live.com
214,1097,22,3,Charging Cable,20,58,2020/1/26,Logan,Smith,logan.smith72@outlook.com
215,53,4,2,Monitor,300,101,2020/1/4,Olivia,Davis,olivia.davis56@gmail.com
216,795,13,4,Desk Lamp,90,320,2018/11/2,Liam,Miller,liam.miller3@live.com
217,1530,9,3,Wireless Headphones,150,30,2023/5/17,Olivia,Jones,olivia.jones8@hotmail.com
218,167,16,1,Webcam,100,185,2020/10/9,Emma,Rodriguez,emma.rodriguez42@yahoo.com
219,525,32,2,Binder,8,126,2018/12/10,Ethan,Brown,ethan.brown23@yahoo.com
220,311,5,4,Keyboard,100,43,2023/7/11,Olivia,Garcia,olivia.garcia82@live.com
221,1310,24,4,SD Card,30,56,2022/5/11,Olivia,Martinez,olivia.martinez41@outlook.com
222,1771,41,3,Desk,250,162,2023/10/4,Sophia,Martinez,sophia.martinez61@hotmail.com
223,619,30,1,Stapler,12,247,2019/3/2,Liam,Brown,liam.brown61@hotmail.com
224,495,32,3,Binder,8,426,2020/3/19,Ethan,Davis,ethan.davis47@gmail.com
225,569,17,5,Microphone,120,383,2019/7/15,Logan,Miller,logan.miller65@outlook.com
226,1253,13,5,Desk Lamp,90,231,2019/4/23,Emma,Smith,emma.smith16@yahoo.com
227,263,6,1,Mouse,50,55,2019/9/25,Logan,Garcia,logan.garcia5@yahoo.com
228,1678,12,3,E-reader,130,175,2020/5/1,Ethan,Brown,ethan.brown67@yahoo.com
229,58,18,4,VR Headset,350,259,2024/2/13,Mason,Johnson,mason.johnson7@outlook.com
230,1328,3,5,Tablet,450,278,2023/12/15,Logan,Smith,logan.smith12@live.com
231,1721,17,2,Microphone,120,161,2023/3/6,Noah,Davis,noah.davis69@outlook.com
232,651,40,4,Wall Clock,45,407,2020/1/3,Ethan,Garcia,ethan.garcia23@hotmail.com
233,953,48,4,Smart TV,1000,473,2022/6/25,Mason,Martinez,mason.martinez8@yahoo.com
234,1950,39,2,Thermos,25,280,2020/6/10,Liam,Brown,liam.brown9@outlook.com
235,1082,31,5,Paper Clips,1,191,2020/4/23,Mason,Garcia,mason.garcia20@gmail.com
236,545,39,2,Thermos,25,488,2023/12/14,Sophia,Martinez,sophia.martinez44@yahoo.com
237,890,32,5,Binder,8,372,2022/9/19,Noah,Davis,noah.davis53@live.com
238,1940,29,2,Highlighter,4,47,2020/5/27,Olivia,Miller,olivia.miller41@live.com
239,1396,5,4,Keyboard,100,177,2023/11/14,Ava,Jones,ava.jones95@yahoo.com
240,355,4,5,Monitor,300,449,2019/8/30,Logan,Garcia,logan.garcia67@gmail.com
241,1196,2,2,Smartphone,800,175,2018/12/31,Ethan,Brown,ethan.brown67@yahoo.com
242,1263,16,5,Webcam,100,438,2020/3/9,Ethan,Davis,ethan.davis23@hotmail.com
243,1272,43,3,Filing Cabinet,200,74,2022/10/8,Liam,Garcia,liam.garcia94@live.com
244,1128,4,3,Monitor,300,89,2019/8/28,Ethan,Brown,ethan.brown27@gmail.com
245,1047,7,3,Smartwatch,250,210,2019/9/11,Ava,Smith,ava.smith16@live.com
246,1280,46,3,Scanner,250,252,2021/11/20,Noah,Jones,noah.jones43@outlook.com
247,620,23,1,Portable Charger,60,41,2020/2/11,Ethan,Garcia,ethan.garcia62@live.com
248,695,16,1,Webcam,100,461,2023/1/22,Mason,Johnson,mason.johnson70@outlook.com
249,1080,32,4,Binder,8,374,2021/9/2,Mason,Brown,mason.brown83@gmail.com
250,1610,4,4,Monitor,300,496,2022/3/12,Noah,Davis,noah.davis69@outlook.com
251,884,34,5,Calculator,25,247,2019/4/28,Liam,Brown,liam.brown61@hotmail.com
252,732,28,2,Pen,3,252,2018/10/15,Noah,Jones,noah.jones43@outlook.com
253,520,15,5,Bluetooth Speaker,180,213,2021/5/18,Liam,Smith,liam.smith92@yahoo.com
254,608,20,4,Fitness Tracker,160,36,2022/12/2,Logan,Johnson,logan.johnson63@yahoo.com
255,1,5,2,Keyboard,100,499,2023/3/30,Ava,Miller,ava.miller34@outlook.com
256,1631,38,2,Water Bottle,30,289,2019/3/7,Ava,Brown,ava.brown39@live.com
257,1696,12,4,E-reader,130,102,2023/5/19,Isabella,Smith,isabella.smith59@gmail.com
258,688,30,1,Stapler,12,255,2022/6/11,Isabella,Davis,isabella.davis35@gmail.com
259,939,33,2,Envelope,10,8,2021/1/14,Mason,Jones,mason.jones22@live.com
260,17,1,1,Laptop,1200,251,2024/2/13,Noah,Jones,noah.jones40@yahoo.com
261,1845,20,4,Fitness Tracker,160,205,2023/1/4,Ava,Brown,ava.brown5@outlook.com
262,1894,40,3,Wall Clock,45,432,2023/1/23,Ethan,Martinez,ethan.martinez99@live.com
263,955,44,5,Whiteboard,130,392,2021/6/28,Liam,Jones,liam.jones30@hotmail.com
264,19,31,4,Paper Clips,1,457,2022/2/15,Logan,Davis,logan.davis59@hotmail.com
265,861,17,1,Microphone,120,7,2020/12/11,Isabella,Williams,isabella.williams24@hotmail.com
266,586,47,2,Headphones,180,79,2023/4/4,Liam,Davis,liam.davis86@outlook.com
267,463,40,1,Wall Clock,45,392,2022/6/30,Liam,Jones,liam.jones30@hotmail.com
268,15,23,4,Portable Charger,60,438,2022/11/26,Ethan,Davis,ethan.davis23@hotmail.com
269,748,17,1,Microphone,120,426,2022/5/9,Ethan,Davis,ethan.davis47@gmail.com
270,824,10,2,Camera,600,361,2021/6/26,Olivia,Garcia,olivia.garcia26@gmail.com
271,1122,6,1,Mouse,50,119,2021/11/6,Isabella,Rodriguez,isabella.rodriguez19@yahoo.com
272,790,30,2,Stapler,12,339,2023/11/6,Isabella,Martinez,isabella.martinez74@outlook.com
273,327,4,5,Monitor,300,98,2022/6/12,Sophia,Smith,sophia.smith58@outlook.com
274,1475,40,5,Wall Clock,45,487,2019/1/18,Logan,Jones,logan.jones23@yahoo.com
275,780,10,4,Camera,600,310,2021/3/9,Logan,Miller,logan.miller31@hotmail.com
276,757,29,4,Highlighter,4,35,2023/3/23,Ava,Smith,ava.smith4@live.com
277,526,32,3,Binder,8,61,2021/6/17,Isabella,Williams,isabella.williams99@outlook.com
278,845,13,2,Desk Lamp,90,413,2019/1/5,Logan,Martinez,logan.martinez61@yahoo.com
279,480,22,4,Charging Cable,20,405,2022/1/26,Ava,Martinez,ava.martinez66@live.com
280,1530,37,5,Coffeemaker,90,30,2023/5/17,Olivia,Jones,olivia.jones8@hotmail.com
281,1820,23,2,Portable Charger,60,59,2020/4/25,Noah,Rodriguez,noah.rodriguez34@gmail.com
282,1616,13,3,Desk Lamp,90,355,2018/10/18,Olivia,Williams,olivia.williams66@yahoo.com
283,1370,40,1,Wall Clock,45,185,2023/6/15,Emma,Rodriguez,emma.rodriguez42@yahoo.com
284,570,4,3,Monitor,300,304,2023/11/8,Liam,Williams,liam.williams38@hotmail.com
285,1486,16,3,Webcam,100,456,2019/5/3,Olivia,Rodriguez,olivia.rodriguez26@yahoo.com
